IP Address,MAC Address,Vendor,Device Type,Status,Latency
10.116.6.178,Unknown,Unknown Vendor,Network Device,Online,1
10.116.6.75,A2:46:12:48:C3:E6,Unknown Vendor,Network Device,Online,4
